city,lat,lng
Amsterdam,52.377956,4.897070
Barcelona,41.385064,2.173404
Berlin,52.520007,13.404954
London,51.507351,-0.127758
LosAngeles,34.052235,-118.243683
Milan,45.464204,9.189982
NewYork,40.712776,-74.005974
Paris,48.856613,2.352222
Rome,41.902782,12.496366
Tokyo,35.689487,139.691711
Amman,31.945367,35.928372
Florence,43.769562,11.255814
Istanbul,41.008240,28.978359
Mexico_city,19.432608,-99.133209
Quebec,46.803282,-71.242796
Singapore,1.339266,103.881304
Vancouver,49.282729,-123.120738
Venice,45.433988, 12.338389